ISO3,CurrencyCode,CurrencyName
AFG,AFN,Afghani
ALA,EUR,Euro
ALB,ALL,Lek
DZA,DZD,Dinar
ASM,USD,Dollar
AND,EUR,Euro
AGO,AOA,Kwanza
AIA,XCD,Dollar
ATA,,
ATG,XCD,Dollar
ARG,ARS,Peso
ARM,AMD,Dram
ABW,AWG,Guilder
AUS,AUD,Dollar
AUT,EUR,Euro
AZE,AZN,Manat
BHS,BSD,Dollar
BHR,BHD,Dinar
BGD,BDT,Taka
BRB,BBD,Dollar
BLR,BYN,Belarusian ruble
BEL,EUR,Euro
BLZ,BZD,Dollar
BEN,XOF,Franc
BMU,BMD,Dollar
BTN,BTN,Ngultrum
BOL,BOB,Boliviano
BES,USD,Dollar
BIH,BAM,Marka
BWA,BWP,Pula
BVT,NOK,Krone
BRA,BRL,Real
IOT,USD,Dollar
VGB,USD,Dollar
BRN,BND,Dollar
BGR,BGN,Lev
BFA,XOF,Franc
BDI,BIF,Franc
KHM,KHR,Riels
CMR,XAF,Franc
CAN,CAD,Dollar
CPV,CVE,Escudo
CYM,KYD,Dollar
CAF,XAF,Franc
TCD,XAF,Franc
CHL,CLP,Peso
CHN,CNY,Yuan Renminbi
CXR,AUD,Dollar
CCK,AUD,Dollar
COL,COP,Peso
COM,KMF,Franc
COK,NZD,Dollar
CRI,CRC,Colon
HRV,HRK,Kuna
CUB,CUP,Peso
CUW,ANG,Guilder
CYP,EUR,Euro
CZE,CZK,Koruna
COD,CDF,Franc
DNK,DKK,Krone
DJI,DJF,Franc
DMA,XCD,Dollar
DOM,DOP,Peso
ECU,USD,Dollar
EGY,EGP,Pound
SLV,USD,Dollar
GNQ,XAF,Franc
ERI,ERN,Nakfa
EST,EUR,Euro
ETH,ETB,Birr
FLK,FKP,Pound
FRO,DKK,Krone
FJI,FJD,Dollar
FIN,EUR,Euro
FRA,EUR,Euro
GUF,EUR,Euro
PYF,XPF,Franc
ATF,EUR,Euro  
GAB,XAF,Franc
GMB,GMD,Dalasi
GEO,GEL,Lari
DEU,EUR,Euro
GHA,GHS,Cedi
GIB,GIP,Pound
GRC,EUR,Euro
GRL,DKK,Krone
GRD,XCD,Dollar
GLP,EUR,Euro
GUM,USD,Dollar
GTM,GTQ,Quetzal
GGY,GBP,Pound
GIN,GNF,Franc
GNB,XOF,Franc
GUY,GYD,Dollar
HTI,HTG,Gourde
HMD,AUD,Dollar
HND,HNL,Lempira
HKG,HKD,Dollar
HUN,HUF,Forint
ISL,ISK,Krona
IND,INR,Rupee
IDN,IDR,Rupiah
IRN,IRR,Rial
IRQ,IQD,Dinar
IRL,EUR,Euro
IMN,GBP,Pound
ISR,ILS,Shekel
ITA,EUR,Euro
CIV,XOF,Franc
JAM,JMD,Dollar
JPN,JPY,Yen
JEY,GBP,Pound
JOR,JOD,Dinar
KAZ,KZT,Tenge
KEN,KES,Shilling
KIR,AUD,Dollar
XKX,EUR,Euro
KWT,KWD,Dinar
KGZ,KGS,Som
LAO,LAK,Kip
LVA,EUR,Euro
LBN,LBP,Pound
LSO,LSL,Loti
LBR,LRD,Dollar
LBY,LYD,Dinar
LIE,CHF,Franc
LTU,EUR,Euro
LUX,EUR,Euro
MAC,MOP,Pataca
MKD,MKD,Denar
MDG,MGA,Ariary
MWI,MWK,Kwacha
MYS,MYR,Ringgit
MDV,MVR,Rufiyaa
MLI,XOF,Franc
MLT,EUR,Euro
MHL,USD,Dollar
MTQ,EUR,Euro
MRT,MRO,Ouguiya
MUS,MUR,Rupee
MYT,EUR,Euro
MEX,MXN,Peso
FSM,USD,Dollar
MDA,MDL,Leu
MCO,EUR,Euro
MNG,MNT,Tugrik
MNE,EUR,Euro
MSR,XCD,Dollar
MAR,MAD,Dirham
MOZ,MZN,Metical
MMR,MMK,Kyat
NAM,NAD,Dollar
NRU,AUD,Dollar
NPL,NPR,Rupee
NLD,EUR,Euro
ANT,ANG,Guilder
NCL,XPF,Franc
NZL,NZD,Dollar
NIC,NIO,Cordoba
NER,XOF,Franc
NGA,NGN,Naira
NIU,NZD,Dollar
NFK,AUD,Dollar
PRK,KPW,Won
MNP,USD,Dollar
NOR,NOK,Krone
OMN,OMR,Rial
PAK,PKR,Rupee
PLW,USD,Dollar
PSE,ILS,Shekel
PAN,PAB,Balboa
PNG,PGK,Kina
PRY,PYG,Guarani
PER,PEN,Sol
PHL,PHP,Peso
PCN,NZD,Dollar
POL,PLN,Zloty
PRT,EUR,Euro
PRI,USD,Dollar
QAT,QAR,Rial
COG,XAF,Franc
REU,EUR,Euro
ROU,RON,Leu
RUS,RUB,Ruble
RWA,RWF,Franc
BLM,EUR,Euro
SHN,SHP,Pound
KNA,XCD,Dollar
LCA,XCD,Dollar
MAF,EUR,Euro
SPM,EUR,Euro
VCT,XCD,Dollar
WSM,WST,Tala
SMR,EUR,Euro
STP,STD,Dobra
SAU,SAR,Rial
SEN,XOF,Franc
SRB,RSD,Dinar
SCG,RSD,Dinar
SYC,SCR,Rupee
SLE,SLL,Leone
SGP,SGD,Dollar
SXM,ANG,Guilder
SVK,EUR,Euro
SVN,EUR,Euro
SLB,SBD,Dollar
SOM,SOS,Shilling
ZAF,ZAR,Rand
SGS,GBP,Pound
KOR,KRW,Won
SSD,SSP,Pound
ESP,EUR,Euro
LKA,LKR,Rupee
SDN,SDG,Pound
SUR,SRD,Dollar
SJM,NOK,Krone
SWZ,SZL,Lilangeni
SWE,SEK,Krona
CHE,CHF,Franc
SYR,SYP,Pound
TWN,TWD,Dollar
TJK,TJS,Somoni
TZA,TZS,Shilling
THA,THB,Baht
TLS,USD,Dollar
TGO,XOF,Franc
TKL,NZD,Dollar
TON,TOP,Pa'anga
TTO,TTD,Dollar
TUN,TND,Dinar
TUR,TRY,Lira
TKM,TMT,Manat
TCA,USD,Dollar
TUV,AUD,Dollar
VIR,USD,Dollar
UGA,UGX,Shilling
UKR,UAH,Hryvnia
ARE,AED,Dirham
GBR,GBP,Pound
USA,USD,Dollar
UMI,USD,Dollar 
URY,UYU,Peso
UZB,UZS,Som
VUT,VUV,Vatu
VAT,EUR,Euro
VEN,VES,Bolivar Soberano
VNM,VND,Dong
WLF,XPF,Franc
ESH,MAD,Dirham
YEM,YER,Rial
ZMB,ZMW,Kwacha
ZWE,ZWL,Dollar
