ISO3,Status,Developed or Developing,Small Island Developing States (SIDS),Land Locked Developing Countries (LLDC),Least Developed Countries (LDC)
AFG,Independent,Developing,,TRUE,TRUE
ALA,Part of FI,Developed,,,
ALB,Independent,Developed,,,
DZA,Independent,Developing,,,
ASM,Territory of US,Developing,TRUE,,
AND,Independent,Developed,,,
AGO,Independent,Developing,,,TRUE
AIA,Territory of GB,Developing,TRUE,,
ATA,International,,,,
ATG,Independent,Developing,TRUE,,
ARG,Independent,Developing,,,
ARM,Independent,Developing,,TRUE,
ABW,Part of NL,Developing,TRUE,,
AUS,Independent,Developed,,,
AUT,Independent,Developed,,,
AZE,Independent,Developing,,TRUE,
BHS,Independent,Developing,TRUE,,
BHR,Independent,Developing,,,
BGD,Independent,Developing,,,TRUE
BRB,Independent,Developing,TRUE,,
BLR,Independent,Developed,,,
BEL,Independent,Developed,,,
BLZ,Independent,Developing,TRUE,,
BEN,Independent,Developing,,,TRUE
BMU,Territory of GB,Developed,,,
BTN,Independent,Developing,,TRUE,TRUE
BOL,Independent,Developing,,TRUE,
BES,Part of NL,Developing,TRUE,,
BIH,Independent,Developed,,,
BWA,Independent,Developing,,TRUE,
BVT,Territory of NO,Developing,,,
BRA,Independent,Developing,,,
IOT,Territory of GB,Developing,,,
VGB,Territory of GB,Developing,TRUE,,
BRN,Independent,Developing,,,
BGR,Independent,Developed,,,
BFA,Independent,Developing,,TRUE,TRUE
BDI,Independent,Developing,,TRUE,TRUE
KHM,Independent,Developing,,,TRUE
CMR,Independent,Developing,,,
CAN,Independent,Developed,,,
CPV,Independent,Developing,TRUE,,
CYM,Territory of GB,Developing,,,
CAF,Independent,Developing,,TRUE,TRUE
TCD,Independent,Developing,,TRUE,TRUE
CHL,Independent,Developing,,,
CHN,Independent,Developing,,,
CXR,Territory of AU,Developed,,,
CCK,Territory of AU,Developed,,,
COL,Independent,Developing,,,
COM,Independent,Developing,TRUE,,TRUE
COK,Associated with NZ,Developing,TRUE,,
CRI,Independent,Developing,,,
HRV,Independent,Developed,,,
CUB,Independent,Developing,TRUE,,
CUW,Part of NL,Developing,TRUE,,
CYP,Independent,Developed,,,
CZE,Independent,Developed,,,
COD,Independent,Developing,,,TRUE
DNK,Independent,Developed,,,
DJI,Independent,Developing,,,TRUE
DMA,Independent,Developing,TRUE,,
DOM,Independent,Developing,TRUE,,
ECU,Independent,Developing,,,
EGY,Independent,Developing,,,
SLV,Independent,Developing,,,
GNQ,Independent,Developing,,,
ERI,Independent,Developing,,,TRUE
EST,Independent,Developed,,,
ETH,Independent,Developing,,TRUE,TRUE
FLK,Territory of GB,Developing,,,
FRO,Part of DK,Developed,,,
FJI,Independent,Developing,TRUE,,
FIN,Independent,Developed,,,
FRA,Independent,Developed,,,
GUF,Part of FR,Developing,,,
PYF,Territory of FR,Developing,TRUE,,
ATF,Territory of FR,Developing,,,
GAB,Independent,Developing,,,
GMB,Independent,Developing,,,TRUE
GEO,Independent,Developing,,,
DEU,Independent,Developed,,,
GHA,Independent,Developing,,,
GIB,Territory of GB,Developed,,,
GRC,Independent,Developed,,,
GRL,Part of DK,Developed,,,
GRD,Independent,Developing,TRUE,,
GLP,Part of FR,Developing,,,
GUM,Territory of US,Developing,TRUE,,
GTM,Independent,Developing,,,
GGY,Crown dependency of GB,Developed,,,
GIN,Independent,Developing,,,TRUE
GNB,Independent,Developing,TRUE,,TRUE
GUY,Independent,Developing,TRUE,,
HTI,Independent,Developing,TRUE,,TRUE
HMD,Territory of AU,Developed,,,
HND,Independent,Developing,,,
HKG,Part of CN,Developing,,,
HUN,Independent,Developed,,,
ISL,Independent,Developed,,,
IND,Independent,Developing,,,
IDN,Independent,Developing,,,
IRN,Independent,Developing,,,
IRQ,Independent,Developing,,,
IRL,Independent,Developed,,,
IMN,Crown dependency of GB,Developed,,,
ISR,Independent,Developed,,,
ITA,Independent,Developed,,,
CIV,Independent,Developing,,,
JAM,Independent,Developing,TRUE,,
JPN,Independent,Developed,,,
JEY,Crown dependency of GB,Developed,,,
JOR,Independent,Developing,,,
KAZ,Independent,Developing,,TRUE,
KEN,Independent,Developing,,,
KIR,Independent,Developing,TRUE,,TRUE
XKX,#N/A,#N/A,#N/A,#N/A,#N/A
KWT,Independent,Developing,,,
KGZ,Independent,Developing,,TRUE,
LAO,Independent,Developing,,TRUE,TRUE
LVA,Independent,Developed,,,
LBN,Independent,Developing,,,
LSO,Independent,Developing,,TRUE,TRUE
LBR,Independent,Developing,,,TRUE
LBY,Independent,Developing,,,
LIE,Independent,Developed,,,
LTU,Independent,Developed,,,
LUX,Independent,Developed,,,
MAC,Part of CN,Developing,,,
MKD,Independent,Developed,,TRUE,
MDG,Independent,Developing,,,TRUE
MWI,Independent,Developing,,TRUE,TRUE
MYS,Independent,Developing,,,
MDV,Independent,Developing,TRUE,,
MLI,Independent,Developing,,TRUE,TRUE
MLT,Independent,Developed,,,
MHL,Independent,Developing,TRUE,,
MTQ,Part of FR,Developing,,,
MRT,Independent,Developing,,,TRUE
MUS,Independent,Developing,TRUE,,
MYT,Part of FR,Developing,,,
MEX,Independent,Developing,,,
FSM,Independent,Developing,TRUE,,
MDA,Independent,Developed,,TRUE,
MCO,Independent,Developed,,,
MNG,Independent,Developing,,TRUE,
MNE,Independent,Developed,,,
MSR,Territory of GB,Developing,TRUE,,
MAR,Independent,Developing,,,
MOZ,Independent,Developing,,,TRUE
MMR,Independent,Developing,,,TRUE
NAM,Independent,Developing,,,
NRU,Independent,Developing,TRUE,,
NPL,Independent,Developing,,TRUE,TRUE
NLD,Independent,Developed,,,
ANT,,,,,
NCL,Territory of FR,Developing,TRUE,,
NZL,Independent,Developed,,,
NIC,Independent,Developing,,,
NER,Independent,Developing,,TRUE,TRUE
NGA,Independent,Developing,,,
NIU,Associated with NZ,Developing,TRUE,,
NFK,Territory of AU,Developed,,,
PRK,Independent,Developing,,,
MNP,Commonwealth of US,Developing,TRUE,,
NOR,Independent,Developed,,,
OMN,Independent,Developing,,,
PAK,Independent,Developing,,,
PLW,Independent,Developing,TRUE,,
PSE,In contention,Developing,,,
PAN,Independent,Developing,,,
PNG,Independent,Developing,TRUE,,
PRY,Independent,Developing,,TRUE,
PER,Independent,Developing,,,
PHL,Independent,Developing,,,
PCN,Territory of GB,Developing,,,
POL,Independent,Developed,,,
PRT,Independent,Developed,,,
PRI,Commonwealth of US,Developing,TRUE,,
QAT,Independent,Developing,,,
COG,Independent,Developing,,,
REU,Part of FR,Developing,,,
ROU,Independent,Developed,,,
RUS,Independent,Developed,,,
RWA,Independent,Developing,,TRUE,TRUE
BLM,Part of FR,Developing,,,
SHN,Territory of GB,Developing,,,
KNA,Independent,Developing,TRUE,,
LCA,Independent,Developing,TRUE,,
MAF,Part of FR,Developing,,,
SPM,Part of FR,Developed,,,
VCT,Independent,Developing,TRUE,,
WSM,Independent,Developing,TRUE,,
SMR,Independent,Developed,,,
STP,Independent,Developing,TRUE,,TRUE
SAU,Independent,Developing,,,
SEN,Independent,Developing,,,TRUE
SRB,Independent,Developed,,,
SCG,,,,,
SYC,Independent,Developing,TRUE,,
SLE,Independent,Developing,,,TRUE
SGP,Independent,Developing,TRUE,,
SXM,Part of NL,Developing,TRUE,,
SVK,Independent,Developed,,,
SVN,Independent,Developed,,,
SLB,Independent,Developing,TRUE,,TRUE
SOM,Independent,Developing,,,TRUE
ZAF,Independent,Developing,,,
SGS,Territory of GB,Developing,,,
KOR,Independent,Developing,,,
SSD,Independent,Developing,,TRUE,TRUE
ESP,Independent,Developed,,,
LKA,Independent,Developing,,,
SDN,Independent,Developing,,,TRUE
SUR,Independent,Developing,TRUE,,
SJM,Territory of NO,Developed,,,
SWZ,Independent,Developing,,TRUE,
SWE,Independent,Developed,,,
CHE,Independent,Developed,,,
SYR,Independent,Developing,,,
TWN,Independent,,,,
TJK,Independent,Developing,,TRUE,
TZA,Independent,Developing,,,TRUE
THA,Independent,Developing,,,
TLS,Independent,Developing,TRUE,,TRUE
TGO,Independent,Developing,,,TRUE
TKL,Territory of NZ,Developing,,,
TON,Independent,Developing,TRUE,,
TTO,Independent,Developing,TRUE,,
TUN,Independent,Developing,,,
TUR,Independent,Developing,,,
TKM,Independent,Developing,,TRUE,
TCA,Territory of GB,Developing,,,
TUV,Independent,Developing,TRUE,,TRUE
VIR,Territory of US,Developing,TRUE,,
UGA,Independent,Developing,,TRUE,TRUE
UKR,Independent,Developed,,,
ARE,Independent,Developing,,,
GBR,Independent,Developed,,,
USA,Independent,Developed,,,
UMI,Territories of US,Developing,,,
URY,Independent,Developing,,,
UZB,Independent,Developing,,TRUE,
VUT,Independent,Developing,TRUE,,TRUE
VAT,Independent,Developed,,,
VEN,Independent,Developing,,,
VNM,Independent,Developing,,,
WLF,Territory of FR,Developing,,,
ESH,In contention,Developing,,,
YEM,Independent,Developing,,,TRUE
ZMB,Independent,Developing,,TRUE,TRUE
ZWE,Independent,Developing,,TRUE,
